label,label_id,source_file,source_path,take_id,target_mac,source_format,window_start,window_end,packet_count,duration,packet_rate,rssi_mean,rssi_std,rssi_min,rssi_max,rssi_range,rssi_median,rssi_q25,rssi_q75,rssi_iqr,rssi_diff_mean,rssi_diff_abs_mean,rssi_diff_std,rssi_diff_max_abs,len_mean,len_std,len_min,len_max,count_gap_mean,count_gap_std,count_gap_max,time_gap_mean,time_gap_std,time_gap_max
1_static,1,1_static_04.csv,./1_static/1_static_04.csv,4,0EA06D7AA587,shifted,1777283158.604458,1777283163.604458,18,4.8655009269714355,3.6995163026727083,-80.83333333333333,0.7637626158259734,-82.0,-79.0,3.0,-81.0,-81.0,-80.25,0.75,0.0,0.8235294117647058,1.1881770515720091,3.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.2862059368806727,0.2766835239118754,1.2205300331115723
1_static,1,1_static_04.csv,./1_static/1_static_04.csv,4,0EA06D7AA587,shifted,1777283161.104458,1777283166.104458,19,4.776740074157715,3.9776080977883814,-80.63157894736842,0.6657426652986062,-82.0,-79.0,3.0,-81.0,-81.0,-80.0,1.0,-0.1111111111111111,0.5555555555555556,0.8089010988089465,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.26537444856431747,0.33447126077802247,1.2205300331115723
1_static,1,1_static_04.csv,./1_static/1_static_04.csv,4,0EA06D7AA587,shifted,1777283163.604458,1777283168.604458,16,4.540176153182983,3.524092339188838,-80.6875,0.582961190818051,-82.0,-80.0,2.0,-81.0,-81.0,-80.0,1.0,0.0,0.5333333333333333,0.7302967433402214,1.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.3026784102121989,0.28872280294757524,1.1267399787902832
1_static,1,1_static_04.csv,./1_static/1_static_04.csv,4,0EA06D7AA587,shifted,1777283166.104458,1777283171.104458,20,4.7039759159088135,4.251722448739616,-80.8,0.6,-82.0,-80.0,2.0,-81.0,-81.0,-80.0,1.0,0.05263157894736842,0.5789473684210527,0.8254940600714801,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.2475776797846744,0.17991754448014396,0.7126979827880859
1_static,1,1_static_04.csv,./1_static/1_static_04.csv,4,0EA06D7AA587,shifted,1777283168.604458,1777283173.604458,22,4.828817129135132,4.555981187869155,-80.63636363636364,0.5677270907634906,-82.0,-80.0,2.0,-81.0,-81.0,-80.0,1.0,0.09523809523809523,0.5714285714285714,0.8109231602822096,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.22994367281595865,0.17104225761093575,0.7008676528930664
1_static,1,1_static_04.csv,./1_static/1_static_04.csv,4,0EA06D7AA587,shifted,1777283171.104458,1777283176.104458,14,3.258082151412964,4.297006444091192,-80.5,0.5,-81.0,-80.0,1.0,-80.5,-81.0,-80.0,1.0,0.07692307692307693,0.6923076923076923,0.8284868934053085,1.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.2506217039548434,0.18798328826618027,0.7008676528930664
empty,0,empty_01.csv,./empty/empty_01.csv,1,0EA06D7AA587,shifted,1777282497.916932,1777282502.916932,21,4.928148031234741,4.261235633934169,-81.71428571428571,0.6281383789653772,-83.0,-81.0,2.0,-82.0,-82.0,-81.0,1.0,-0.05,0.65,0.9205976319760985,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.24640740156173707,0.27600233465415,1.3405230045318604
empty,0,empty_01.csv,./empty/empty_01.csv,1,0EA06D7AA587,shifted,1777282500.416932,1777282505.416932,25,4.753612041473389,5.259158673843147,-81.56,0.6374950980203692,-83.0,-81.0,2.0,-81.0,-82.0,-81.0,1.0,-0.041666666666666664,0.7083333333333334,0.9780578828587918,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.19806716839472452,0.12296492188970388,0.4968092441558838
empty,0,empty_01.csv,./empty/empty_01.csv,1,0EA06D7AA587,shifted,1777282502.916932,1777282507.916932,17,4.50529408454895,3.7733385836680546,-81.6470588235294,0.5882352941176471,-83.0,-81.0,2.0,-82.0,-82.0,-81.0,1.0,-0.0625,0.4375,0.6584783595532961,1.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.2815808802843094,0.22643621246468204,0.916424036026001
empty,0,empty_01.csv,./empty/empty_01.csv,1,0EA06D7AA587,shifted,1777282505.416932,1777282510.416932,19,4.833885908126831,3.9305851153948006,-81.6842105263158,0.653140718210045,-83.0,-81.0,2.0,-82.0,-82.0,-81.0,1.0,-0.05555555555555555,0.6111111111111112,0.8480187512485415,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.26854921711815727,0.22388096054557804,0.916424036026001
empty,0,empty_01.csv,./empty/empty_01.csv,1,0EA06D7AA587,shifted,1777282507.916932,1777282512.916932,31,4.892662048339844,6.336019061549281,-81.48387096774194,0.560585393451057,-83.0,-81.0,2.0,-81.0,-82.0,-81.0,1.0,0.0,0.5333333333333333,0.7745966692414834,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.16308873494466145,0.11283914673265548,0.46238112449645996
empty,0,empty_01.csv,./empty/empty_01.csv,1,0EA06D7AA587,shifted,1777282510.416932,1777282515.416932,27,4.5728440284729,5.9044218066227465,-81.44444444444444,0.49690399499995325,-82.0,-81.0,1.0,-81.0,-82.0,-81.0,1.0,0.038461538461538464,0.5,0.7060599904109931,1.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.17587861647972694,0.14027925903521335,0.6112210750579834
empty,0,empty_01.csv,./empty/empty_01.csv,1,0EA06D7AA587,shifted,1777282512.916932,1777282517.916932,21,4.563614130020142,4.601616044147737,-81.47619047619048,0.49943278484292936,-82.0,-81.0,1.0,-81.0,-82.0,-81.0,1.0,0.0,0.8,0.8944271909999159,1.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.22818070650100708,0.20403773095847663,0.8326270580291748
empty,0,empty_01.csv,./empty/empty_01.csv,1,0EA06D7AA587,shifted,1777282515.416932,1777282520.416932,23,4.673179864883423,4.921702280888724,-81.52173913043478,0.49952718665548085,-82.0,-81.0,1.0,-82.0,-82.0,-81.0,1.0,0.0,0.6363636363636364,0.7977240352174656,1.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.21241726658561014,0.17999073987163358,0.8326270580291748
empty,0,empty_01.csv,./empty/empty_01.csv,1,0EA06D7AA587,shifted,1777282517.916932,1777282522.916932,21,4.310830116271973,4.871451538007001,-81.42857142857143,0.4948716593053935,-82.0,-81.0,1.0,-81.0,-82.0,-81.0,1.0,0.0,0.4,0.6324555320336759,1.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.21554150581359863,0.1422176168122777,0.46220898628234863
empty,0,empty_01.csv,./empty/empty_01.csv,1,0EA06D7AA587,shifted,1777282520.416932,1777282525.416932,25,4.674088954925537,5.348635903399976,-81.56,0.4963869458396343,-82.0,-81.0,1.0,-82.0,-82.0,-81.0,1.0,0.041666666666666664,0.4583333333333333,0.6757197808427857,1.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.1947537064552307,0.16720880943577504,0.760991096496582
